freq	kvnp_7_p	kvnp_10_p	kvnp_11_c	kvnp_14_c	7_p_std	10_p_std	11_c_std	14_c_std	p_mean	c_mean
36.45	66.33117	61.411816	70.99204	68.721085	0.741441761	0.612435953	0.764003354	0.725477323	0.676938857	0.744740339
37.8	66.32646	61.391506	70.97421	68.70854	0.741396025	0.612236129	0.76383318	0.725359572	0.676816077	0.744596376
39.15	66.32158	61.370457	70.95574	68.69553	0.741348638	0.612029035	0.763656898	0.725237457	0.676688837	0.744447178
40.5	66.31652	61.34866	70.93661	68.682076	0.741299503	0.611814582	0.763474317	0.725111173	0.676557042	0.744292745
41.85	66.31129	61.32613	70.916824	68.66816	0.741248718	0.611592916	0.763285475	0.724980554	0.676420817	0.744133015
43.2	66.30588	61.302845	70.896385	68.653786	0.741196184	0.611363823	0.763090401	0.724845636	0.676280004	0.743968018
44.55	66.3003	61.27881	70.8753	68.63896	0.741142	0.611127351	0.762889161	0.724706474	0.676134675	0.743797818
45.9	66.29454	61.254036	70.853546	68.62367	0.741086068	0.610883607	0.762681535	0.724562958	0.675984838	0.743622247
47.25	66.288605	61.22852	70.83115	68.60794	0.741028436	0.610632564	0.762467783	0.724415312	0.6758305	0.743441547
48.6	66.28249	61.202255	70.80809	68.59174	0.740969057	0.610374151	0.762247693	0.724263254	0.675671604	0.743255474
49.95	66.276215	61.17524	70.78438	68.575096	0.740908124	0.610108359	0.762021399	0.724107029	0.675508242	0.743064214
51.3	66.26975	61.147472	70.76002	68.55799	0.740845346	0.609835159	0.761788902	0.723946467	0.675340253	0.742867684
52.65	66.263115	61.11896	70.734985	68.540436	0.740780917	0.609554639	0.761549962	0.7237817	0.675167778	0.742665831
54	66.2563	61.089714	70.709305	68.52243	0.740714741	0.609266897	0.761304866	0.723612691	0.674990819	0.742458778
55.35	66.249306	61.059708	70.68297	68.50396	0.740646826	0.608971678	0.761053519	0.723439326	0.674809252	0.742246422
56.7	66.242134	61.02895	70.65597	68.48504	0.740577183	0.60866906	0.760795825	0.723261738	0.674623122	0.742028781
58.05	66.23479	60.99745	70.6283	68.46567	0.740505869	0.608359142	0.760531736	0.723079925	0.674432506	0.741805831
59.4	66.227264	60.965187	70.59999	68.44584	0.740432789	0.608041717	0.760261539	0.722893795	0.674237253	0.741577667
60.75	66.21955	60.93218	70.571014	68.42556	0.740357882	0.607716972	0.759984985	0.722703441	0.674037427	0.741344213
62.1	66.21167	60.89842	70.541374	68.40482	0.740281364	0.607384819	0.759702094	0.72250877	0.673833092	0.741105432
63.45	66.203606	60.86391	70.51108	68.38364	0.740203059	0.607045286	0.759412961	0.722309968	0.673624173	0.740861465
64.8	66.19535	60.828648	70.48011	68.36199	0.74012289	0.606698355	0.759117376	0.722106755	0.673410623	0.740612066
66.15	66.18693	60.792637	70.44849	68.3399	0.740041128	0.606344055	0.758815588	0.721899412	0.673192591	0.7403575
67.5	66.178314	60.75587	70.4162	68.31735	0.739957463	0.605982316	0.758507405	0.721687752	0.67296989	0.740097578
68.85	66.169525	60.718353	70.38325	68.29436	0.739872118	0.605613199	0.758192922	0.721471961	0.672742659	0.739832442
70.2	66.16055	60.68008	70.34963	68.270905	0.739784967	0.605236644	0.757872045	0.721251806	0.672510805	0.739561925
71.55	66.1514	60.641052	70.31535	68.247	0.739696116	0.60485266	0.757544869	0.721027426	0.672274388	0.739286148
72.9	66.14206	60.601273	70.2804	68.22265	0.739605421	0.604461288	0.757211298	0.72079887	0.672033354	0.739005084
74.25	66.13253	60.560738	70.24479	68.197845	0.739512881	0.604062477	0.756871428	0.720566044	0.671787679	0.738718736
75.6	66.122826	60.51945	70.20851	68.17259	0.739418651	0.603656258	0.756525163	0.720328993	0.671537454	0.738427078
76.95	66.11293	60.47741	70.17156	68.14689	0.739322556	0.60324264	0.756172504	0.720087766	0.671282598	0.738130135
78.3	66.10285	60.434612	70.13395	68.12073	0.739224675	0.602821565	0.755813546	0.71984222	0.67102312	0.737827883
79.65	66.09258	60.391064	70.095665	68.094124	0.739124949	0.602393111	0.755448145	0.719592489	0.67075903	0.737520317
81	66.08214	60.34676	70.05671	68.06708	0.739023572	0.601957218	0.755076349	0.719338646	0.670490395	0.737207498
82.35	66.071495	60.3017	70.01709	68.03957	0.738920204	0.601513888	0.754698207	0.719080429	0.670217046	0.736889318
83.7	66.06067	60.255898	69.97679	68.01162	0.738815089	0.601063257	0.754313574	0.718818083	0.669939173	0.736565829
85.05	66.04965	60.209335	69.93583	67.98322	0.73870808	0.600605139	0.753922643	0.718551512	0.669656609	0.736237078
86.4	66.038445	60.162025	69.894196	67.954384	0.738599275	0.600139671	0.753525278	0.718280849	0.669369473	0.735903064
87.75	66.027054	60.113953	69.85188	67.925095	0.738488663	0.599666707	0.753121405	0.718005935	0.669077685	0.73556367
89.1	66.015465	60.065136	69.8089	67.895355	0.738376129	0.599186412	0.752711194	0.717726786	0.668781271	0.73521899
90.45	66.003685	60.015564	69.76524	67.86517	0.73826174	0.59869869	0.752294493	0.717443461	0.668480215	0.734868977
91.8	65.991714	59.96524	69.72092	67.83455	0.738145496	0.598203569	0.751871492	0.717156053	0.668174532	0.734513773
93.15	65.97955	59.91418	69.67591	67.803474	0.738027379	0.597701206	0.751441906	0.716864365	0.667864292	0.734153136
94.5	65.9672	59.862354	69.63023	67.771965	0.737907455	0.597191307	0.751005926	0.716568613	0.667549381	0.733787269
95.85	65.95465	59.809795	69.58387	67.740005	0.737785589	0.596674197	0.750563456	0.716268627	0.667229893	0.733416041
97.2	65.9419	59.75648	69.53684	67.7076	0.737661781	0.596149648	0.75011459	0.715964465	0.666905714	0.733039528
98.55	65.92896	59.702435	69.48913	67.67477	0.737536128	0.595617917	0.749659235	0.715656313	0.666577022	0.732657774
99.9	65.915825	59.647636	69.44074	67.64149	0.737408581	0.595078768	0.74919739	0.715343937	0.666243674	0.732270664
101.25	65.9025	59.592102	69.39168	67.607765	0.73727919	0.594532387	0.74872915	0.715027385	0.665905788	0.731878267
102.6	65.88896	59.535816	69.341934	67.57361	0.73714771	0.593978608	0.748254363	0.714706796	0.665563159	0.73148058
103.95	65.87524	59.478794	69.29152	67.53902	0.737014483	0.593417587	0.7477732	0.714382125	0.665216035	0.731077662
105.3	65.861305	59.421047	69.24042	67.50398	0.736879168	0.592849433	0.74728549	0.714053229	0.664864301	0.73066936
106.65	65.847176	59.36257	69.18864	67.46851	0.73674197	0.592274097	0.746791289	0.713720298	0.664508034	0.730255794
108	65.83285	59.303345	69.13618	67.43261	0.736602858	0.591691402	0.746290599	0.71338333	0.66414713	0.729836965
109.35	65.818306	59.243412	69.08304	67.39628	0.73646163	0.591101741	0.745783419	0.713042327	0.663781685	0.729412873
110.7	65.80357	59.182755	69.02922	67.359505	0.736318537	0.590504957	0.745269748	0.712697146	0.663411747	0.728983447
112.05	65.788635	59.121365	68.97472	67.3223	0.736173511	0.589900961	0.744749588	0.712347929	0.663037236	0.728548759
113.4	65.77349	59.059258	68.91954	67.284676	0.736026447	0.589289911	0.744222937	0.71199478	0.662658179	0.728108858
114.75	65.75814	58.996445	68.86368	67.24662	0.735877392	0.588671914	0.743689796	0.711637575	0.662274653	0.727663686
116.1	65.742584	58.93291	68.80714	67.20813	0.735726336	0.588046814	0.743150166	0.711276297	0.661886575	0.727213231
